Disease_Name,treatment,Description,extra comments
Drug Reaction,"stop irritation,consult nearest hospital,stop taking drug,follow up",An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,
Malaria,"take any antimalarial medicine you're prescribed – you usually need to start taking it a few days or weeks before you go, until a few week after you get back;use insect repellent on your skin – make sure it's 50% DEET-based;sleep under mosquito nets treated with insecticide;wear long-sleeved clothing and trousers to cover your arms and legs in the evening, when mosquitos are most active",An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,Malaria is an emergency and needs to be treated quickly;It's treated with antimalarial medicines;Some people will stay in hospital to have specialist care and treatment; Malaria can sometimes come back and will need to be treated again if this happens;
Allergy,"trying to avoid the thing you're allergic to whenever possible;medicines for mild allergic reactions like antihistamines, steroid tablets and steroid creams;emergency medicines called adrenaline auto-injectors, such as an EpiPen, for severe allergic reactions;desensitisation (immunotherapy) for severe allergic reactions – this involves carefully exposing you to the thing you're allergic to over time, so your body gradually gets used to it and does not react so badly (this should only be done by a medical professional)","An allergy is where your body reacts to something that's normally harmless like pollen, dust or animal fur. The symptoms can be mild, but for some people they can be very serious.","Call 999 if:;you get a skin rash that may include itchy, red, swollen, blistered or peeling skin;you're wheezing;you get tightness in the chest or throat;you have trouble breathing or talking;"
Hypothyroidism,reduce stress;exercise;eat healthy;get proper sleep,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.","your mouth, face, lips, tongue or throat start swelling;"
Psoriasis,"In most cases, the first treatment used will be a topical treatment, such as vitamin D analogues or topical corticosteroids. Topical treatments are creams and ointments applied to the skin.;If these are not effective, or your condition is more severe, a treatment called phototherapy may be used. Phototherapy involves exposing your skin to certain types of ultraviolet light.;In severe cases, where the above treatments are ineffective, systemic treatments may be used. These are oral or injected medicines that work throughout the whole body.","Psoriasis is a skin condition that causes flaky patches of skin which form scales.On brown, black and white skin the patches can look pink or red, and the scales white or silvery. On brown and black skin the patches can also look purple or dark brown, and the scales may look grey.These patches normally appear on your elbows, knees, scalp and lower back, but can appear anywhere on your body. ","Although psoriasis is just a minor irritation for some people, it can have a significant impact on quality of life for those more severely affected.;For example, some people with psoriasis have low self-esteem because of the effect the condition has on their appearance.;It's also quite common to develop tenderness, pain and swelling in the joints and connective tissue. This is known as psoriatic arthritis."
GERD,"If you have acid reflux, a GP may prescribe a medicine called a proton pump inhibitor (PPI) that reduces how much acid your stomach makes.PPIs include:omeprazole
lansoprazole;You'll usually need to take this type of medicine for 4 or 8 weeks, depending on how serious your acid reflux is.Go back to the GP if your symptoms return after stopping your medicine. You may need a long-term prescription.","Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",
Chronic cholestasis,anti itch medicine;cold bath;sconsult doctor;eat healthy,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases","Your doctor will ask questions about your medical history. You’ll also have a physical exam. Blood tests may be ordered to test for liver enzymes that indicate cholestasis. If test results are abnormal, your doctor may order imaging tests like ultrasound or MRI. Your doctor may also perform a liver biopsy."
hepatitis A,"Hepatitis A usually clears up on its own within 3 to 6 months.;Your doctor may offer you medicines to help with the symptoms, such as painkillers or medicines to stop you feeling sick or itchy.;A small number of people with hepatitis A may get liver problems. You may need blood tests to check your liver is working properly.",Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,"limit contact with other people for 7 days after your symptoms started or 7 days after jaundice started (adults should stay off work and children should stay off from school or nursery);rest and drink plenty of fluids;take painkillers like ibuprofen and paracetamol - ask your doctor for advice on how much paracetamol you should take because you may not be able to take a normal dose;keep your room well ventilated, wear loose-fitting clothing, and avoid hot baths and showers if you feel itchy;wash your hands thoroughly after going to the toilet"
Osteoarthristis,regular exercise;losing weight if you're overweight;wearing suitable footwear;using special devices to reduce the strain on your joints during your everyday activities,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time.","It's not possible to prevent osteoarthritis altogether. However, you may be able to minimise your risk of developing the condition by avoiding injury and living a healthy lifestyle."
(vertigo) Paroymsal  Positional Vertigo,Most people with vertigo get better without treatment.;Treatment will depend on the cause. A GP might prescribe antibiotics if it's caused by an infection.;You could also be given exercises to do to try to correct your balance.;Antihistamines can sometimes help with vertigo symptoms.,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo â€” the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.,"Call 999 or go to A&E if:;You have vertigo and:;double vision or loss of vision;hearing loss;trouble speaking;leg or arm weakness, numbness or tingling;Always take someone who cannot be woken up to A&E or call 999."
